train,val,test
02/19/2022,01/25/2019,01/08/2020
02/11/2025,01/05/2022,11/19/2017
02/11/2021,01/06/2022,11/20/2016
02/12/2021,01/07/2022,11/01/2021
02/13/2021,11/09/2018,11/02/2021
02/19/2021,11/10/2018,11/03/2021
02/10/2016,11/27/2023,11/12/2022
02/11/2016,11/28/2023,11/13/2022
02/12/2016,11/16/2022,11/14/2022
02/13/2016,11/17/2022,11/28/2021
02/13/2025,11/18/2022,11/28/2024
02/06/2021,11/19/2022,11/29/2024
02/16/2024,11/20/2022,11/30/2024
02/03/2023,03/05/2019,12/01/2024
02/25/2019,,12/02/2024
02/19/2020,,
02/17/2025,,
02/18/2025,,
02/27/2020,,
02/28/2020,,
12/25/2017,,
12/26/2017,,
12/12/2017,,
12/17/2022,,
12/18/2022,,
12/14/2016,,
12/15/2016,,
12/06/2017,,
12/07/2017,,
12/08/2017,,
12/23/2022,,
12/24/2022,,
12/25/2022,,
12/08/2016,,
12/09/2016,,
12/10/2016,,
12/15/2017,,
12/06/2021,,
12/12/2024,,
12/05/2024,,
12/19/2015,,
12/18/2019,,
12/30/2017,,
12/31/2017,,
12/29/2016,,
12/30/2016,,
01/13/2016,,
01/26/2025,,
01/22/2021,,
01/09/2019,,
01/10/2019,,
01/14/2025,,
01/14/2024,,
01/17/2024,,
01/03/2016,,
01/04/2016,,
01/03/2025,,
01/29/2019,,
01/30/2019,,
01/19/2020,,
01/28/2017,,
01/29/2017,,
01/10/2022,,
01/20/2024,,
01/11/2016,,
01/17/2016,,
01/18/2016,,
01/19/2025,,
01/20/2025,,
01/21/2025,,
01/05/2018,,
01/04/2017,,
01/05/2017,,
01/06/2017,,
01/07/2017,,
01/08/2017,,
10/18/2015,,
03/18/2023,,
